Time,Hs,Tp,Dir
5/5/2015 0:00,1.154289246,4.237047195,49.87844849
5/5/2015 1:00,1.318274498,4.434668541,51.87538147
5/5/2015 2:00,1.396258354,4.595140457,53.84181213
5/5/2015 3:00,1.448245049,4.720685005,56.06582642
5/5/2015 4:00,1.460273743,4.81639576,58.48033142
5/5/2015 5:00,1.423586845,4.887288094,60.49269104
5/5/2015 6:00,1.361075401,4.94665432,61.97122192
5/5/2015 7:00,1.288974762,5.004641533,62.84590149
5/5/2015 8:00,1.206353188,5.083015442,62.89343262
5/5/2015 9:00,1.124463081,5.185893059,62.2809906
5/5/2015 10:00,1.038246155,5.356500626,60.37832642
5/5/2015 11:00,0.976663888,5.456970215,59.03913879
5/5/2015 12:00,1.0154562,5.631244659,58.7444458
5/5/2015 13:00,0.997109294,5.64345932,59.18260193
5/5/2015 14:00,0.979610085,5.570585251,59.86000061
5/5/2015 15:00,0.95273447,5.557168961,59.72340393
5/5/2015 16:00,0.915981412,5.613927841,58.67861938
5/5/2015 17:00,0.939138412,5.765701294,57.32469177
5/5/2015 18:00,0.925136089,5.67561245,55.30050659
5/5/2015 19:00,0.943293929,5.403371811,52.7684021
5/5/2015 20:00,0.985906065,5.112392426,50.52653503
5/5/2015 21:00,1.03680706,4.899752617,49.0252533
5/5/2015 22:00,1.093916893,4.773182869,48.68621826
5/5/2015 23:00,1.125250816,4.731564522,49.7000885
5/6/2015 0:00,1.134488106,4.76367569,50.94772339
5/6/2015 1:00,1.114692688,4.781805992,52.08636475
5/6/2015 2:00,1.11434269,4.746841431,53.42533875
5/6/2015 3:00,1.127548218,4.702636719,54.707901
5/6/2015 4:00,1.141732216,4.675683975,56.21537781
5/6/2015 5:00,1.159611702,4.657516479,58.20928955
5/6/2015 6:00,1.156683922,4.65736866,60.54788208
5/6/2015 7:00,1.121974945,4.670188904,63.08216858
5/6/2015 8:00,1.066810608,4.688220024,65.46739197
5/6/2015 9:00,1.011631966,4.692340851,67.9634552
5/6/2015 10:00,0.953723788,4.705493927,69.83990479
5/6/2015 11:00,0.989879429,4.859041214,72.48266602
5/6/2015 12:00,0.933661997,4.729997635,75.03778076
5/6/2015 13:00,0.911812901,4.567437172,80.17759705
5/6/2015 14:00,0.899609208,4.439016342,84.78382874
5/6/2015 15:00,0.859926939,4.423657417,85.57839966
5/6/2015 16:00,0.792433858,4.519759178,82.34840393
5/6/2015 17:00,0.724985063,4.661405563,77.73829651
5/6/2015 18:00,0.681739211,4.696792603,72.31114197
5/6/2015 19:00,0.677498341,4.526650429,64.34317017
5/6/2015 20:00,0.71836555,4.256772041,56.05024719
5/6/2015 21:00,0.797671437,4.054403305,50.40881348
5/6/2015 22:00,0.865091443,4.009963989,48.5786438
5/6/2015 23:00,0.940686047,4.024953842,49.36477661
5/7/2015 0:00,1.00259304,4.077708244,51.17788696
5/7/2015 1:00,1.050321579,4.145541191,53.67823792
5/7/2015 2:00,1.088929176,4.215607643,56.28216553
5/7/2015 3:00,1.084650993,4.283819199,58.46006775
5/7/2015 4:00,1.051501274,4.336139679,60.3505249
5/7/2015 5:00,1.011296272,4.36641407,62.73309326
5/7/2015 6:00,0.97131902,4.374140739,65.68759155
5/7/2015 7:00,0.926393569,4.382819176,68.2449646
5/7/2015 8:00,0.895211339,4.356589317,71.86198425
5/7/2015 9:00,0.87734884,4.304438591,76.02392578
5/7/2015 10:00,0.854136229,4.274262428,79.8525238
5/7/2015 11:00,0.834908545,4.231639862,83.02093506
5/7/2015 12:00,0.816481531,4.184188843,85.58314514
5/7/2015 13:00,0.826031983,4.160253525,88.22090149
5/7/2015 14:00,0.809428751,4.102566719,89.45022583
5/7/2015 15:00,0.779788256,4.074029922,88.96994019
5/7/2015 16:00,0.732030213,4.093824387,86.71965027
5/7/2015 17:00,0.685307503,4.15253067,83.25933838
5/7/2015 18:00,0.64359653,4.160046577,78.7442627
5/7/2015 19:00,0.629960001,4.051176071,72.15446472
5/7/2015 20:00,0.656451821,3.865504265,63.43540955
5/7/2015 21:00,0.728294969,3.727345467,55.83065796
5/7/2015 22:00,0.825018167,3.721215248,51.82806396
5/7/2015 23:00,0.930932403,3.809332848,51.20930481
5/8/2015 0:00,1.008624077,3.932005882,52.28953552
5/8/2015 1:00,1.137983322,4.175020218,54.56269836
5/8/2015 2:00,1.104517937,4.244114876,57.79588318
5/8/2015 3:00,1.034301758,4.258008957,61.34179688
5/8/2015 4:00,0.957759738,4.243187904,64.79811096
5/8/2015 5:00,0.897656381,4.199562073,68.77685547
5/8/2015 6:00,0.848696589,4.153995514,72.29048157
5/8/2015 7:00,0.810874581,4.104094505,75.76391602
5/8/2015 8:00,0.78721565,4.041528702,79.63723755
5/8/2015 9:00,0.773432672,3.979494095,82.95835876
5/8/2015 10:00,0.734433174,3.989290237,83.78274536
5/8/2015 11:00,0.710924745,3.95344162,84.58937073
5/8/2015 12:00,0.693407059,3.904405594,85.23912048
5/8/2015 13:00,0.679396391,3.846323013,86.06932068
5/8/2015 14:00,0.675097406,3.76867485,87.95870972
5/8/2015 15:00,0.667871118,3.718857765,88.86463928
5/8/2015 16:00,0.641473234,3.711885452,87.32295227
5/8/2015 17:00,0.609850049,3.715324402,83.66407776
